,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes,Co-Op,Vs.,Speedrun
0,5918,Private,PC,17h 56m,70%,"Did a couple side missions, but mostly stuck to the main missions until the first ending (mission 31).",100098,Completed,First,"January 14, 2016",17h 56m,,,,,,,
1,5918,Everdred,Xbox One,18h 12m,90%,"31 Main Missions, 2 Side OPS. 1 FOB Mission.",5377025,Completed,Replay,"February 01, 2018",18h 12m,,,,,,,
2,5918,,PlayStation 3,20h,NR,,2711410,Completed,First,,20h,50h,140h,,,,,
3,5918,,PlayStation 4,20h,NR,,1730412,Completed,First,,20h 23s,50h 34m 07s,,,,,,
4,5918,cellslayer78,Xbox One,20h 33m,90%,,2226280,Completed,Replay,"December 13, 2015",20h 33m 29s,,,,,,,
5,5918,Everdred,PC,20h 40m,100%,23% total completion.,1752566,Completed,First,"September 23, 2015",20h 40m,,,,,,,
6,5918,cabriolet6,PC,20h 43m,90%,,6171903,Completed,First,"April 27, 2018",20h 43m 49s,28h 19m 31s,,,,,,
7,5918,nAKAZZ,PC,20h 45m,60%,,1940707,Backlog Completed,First,,20h 45m,36h,,,,,,
8,5918,,PC,21h,NR,,1778344,Completed,First,,21h,,,,,,,
9,5918,Satoko,PC,21h,NR,,7476796,Completed,First,,21h,,,,,,,
10,5918,colonelchibbers,PC,21h,90%,,1815042,Completed,First,"September 13, 2015",21h,,,,,,,
11,5918,CyDi,PC,21h 41m,30%,Both chapters + ~25 side ops necessary to get the true ending,10461701,Completed,First,"November 20, 2019",21h 41m 49s,,,,,,,
12,5918,,PC,22h 40m,NR,,1865257,Completed,First,,22h 40m,,,,,,,
13,5918,pinkzep360,PlayStation 4,24h,NR,,2981904,Completed,First,"September 21, 2015",24h,,,,,,,
14,5918,,PC,24h 16m,NR,,6941783,Completed,First,,24h 16m,,,,,,,
15,5918,Kondor666,PC,25h,NR,,11753542,Completed,Replay,,25h,50h,89h,,,,,
16,5918,Private,PC,25h,NR,,6499757,Completed,First,"June 30, 2018",25h,,,,,,,
17,5918,ieatbatteries7,PlayStation 4,25h,50%,,4500268,Completed,First,"May 30, 2017",25h,50h,70h,,,,,
18,5918,rollercosta,PlayStation 4,25h,NR,,6546319,Completed,First,,25h,30h,,,,,,
19,5918,thirdstringgames,Xbox One,25h,NR,,3107724,Completed,First,"June 18, 2016",25h,,,,,,,
20,5918,,PC,25h 21m,NR,,4958790,Completed,First,,25h 21m 43s,145h 32m 56s,,,,,,
21,5918,BrickTrain,PC,26h 14m,50%,,7599188,Completed,First,"October 31, 2019",26h 14m,27h 01m,,,,,,
22,5918,,Xbox One,26h 40m,NR,,4042137,Completed,Replay,,26h 40m 09s,,,,,,,
23,5918,ireali123,PC,26h 54m,100%,Missions 32-39,6590974,Completed,First,"October 22, 2018",26h 54m 27s,33h 41m 53s,,,,,,
24,5918,,PlayStation 4,27h 30m,NR,,1885945,Completed,First,,27h 30m,102h 15m,130h 17m,,,,,
25,5918,,PC,28h 15m,NR,,3159020,Completed,First,,28h 15m 42s,,,,,,,
26,5918,,PlayStation 4,28h 30m,NR,,3388306,Completed,Replay,,28h 30m,,,,,,,
27,5918,romancook,PlayStation 3,28h 46m,100%,,1918136,Completed,First,"October 07, 2015",28h 46m 54s,,,,,,,
28,5918,,PlayStation 4,29h,NR,,1919626,Completed,First,,29h,39h,,,,,,
29,5918,ShotaCat,PC,29h,60%,,10165334,Completed,First,"September 28, 2019",29h,,,,,,,
30,5918,fetahundenyoda,PC,29h,80%,,2184201,Completed,First,"December 04, 2015",29h,,,,,,,
31,5918,,Xbox One,29h 05m,NR,,5443545,Completed,Replay,,29h 05m,,,,,,,
32,5918,martin,PC,29h 12m,80%,,4453533,Completed,First,"May 20, 2017",29h 12m 48s,,,,,,,
33,5918,,PC,30h,NR,,1804709,Completed,First,,30h,80h,130h,,,,,
34,5918,,PlayStation 4,30h,NR,,7818635,Completed,Replay,,30h,40h,130h,,,,,
35,5918,,PC,30h,NR,,9272339,Completed,First,,30h,,110h,,,,,
36,5918,,PC,30h,NR,,10393564,Completed,First,,30h,,,,,,,
37,5918,Flawii,PC,30h,NR,,3799421,Completed,First,"December 24, 2016",30h,,,,,,,
38,5918,Lulcielid,PlayStation 4,30h,NR,,7818645,Completed,Replay,"December 25, 2018",30h,45h,130h,,,,,
39,5918,RedSane,PC,30h,NR,,1899888,Completed,First,"October 03, 2015",30h,60h,150h,,,,,
40,5918,Roberoo,PlayStation 4,30h,NR,Missions 1-31 complete. 5 side ops.,2289948,Completed,First,"April 15, 2016",30h,,,,,,,
