,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress
0,66630,BoogeyDK,PlayStation 4,70h,90%,,11544563,Completed,Replay,"May 01, 2020",70h,,,,
1,66630,,PlayStation 4,70h 32m,NR,,11818973,Completed,First,,70h 32m 46s,,,,
2,66630,ZeNoDXX,PlayStation 4,72h 17m,NR,Persona 5 Portion of the Story + Additional New Scenes. December 24th.,11323582,Completed,First,"March 29, 2020",72h 17m,,,,
3,66630,,PlayStation 4,73h 34m,NR,,11402130,Completed,First,,73h 34m,,,,
4,66630,,PlayStation 4,73h 38m,NR,,11445924,Completed,First,,73h 38m 20s,,,,
5,66630,Cammykar,PlayStation 4,74h 48m,90%,,11306876,Completed,First,"April 19, 2020",74h 48m,125h 07m,,,
6,66630,,PlayStation 4,75h 19m,NR,,11583824,Completed,First,,75h 19m,,,,
7,66630,,PlayStation 4,75h 19m,NR,,11583827,Completed,First,,75h 19m,,,,
8,66630,Acesone1,PlayStation 4,75h 22m,90%,,11631879,Completed,First,"May 06, 2020",75h 22m,,,,
9,66630,,PlayStation 4,75h 32m,NR,,11827712,Completed,First,,75h 32m,,,,
10,66630,,PlayStation 4,75h 52m,NR,,11877376,Completed,Replay,,75h 52m,,,,
11,66630,,PlayStation 4,76h 50m,NR,,11906846,Completed,First,,76h 50m,,,,
12,66630,potato45,PlayStation 4,78h,100%,,11563848,Completed,First,"April 08, 2020",78h,,,,
13,66630,,PlayStation 4,78h 55m,NR,,11911979,Completed,First,,78h 55m 48s,100h 58m 43s,,,
14,66630,Fokkos,PlayStation 4,80h,NR,,11386811,Completed,First,"April 06, 2020",80h,120h,121h,,
15,66630,GodotIV,PlayStation 4,80h,100%,,11524738,Completed,First,"April 22, 2020",80h,,,,
16,66630,Magnara,PlayStation 4,80h,NR,,11527941,Completed,First,"April 22, 2020",80h,95h,110h,already played Vanilla Persona 5,
17,66630,,PlayStation 4,80h 50m,NR,,11857042,Completed,First,,80h 50m,,,,
18,66630,CalvinH32,PlayStation 4,80h 57m,NR,,12010776,Completed,First,"May 02, 2020",80h 57m,,,,
19,66630,,PlayStation 4,80h 58m,NR,,12010706,Completed,Replay,,80h 58m,,,,
20,66630,bmartinko,PlayStation 4,81h 47m,100%,Completed Royal Content; Maxed out majority of confidants; Lv: 91; Platinum Trophy Obtained,11365526,Completed,First,"April 26, 2020",81h 47m,,,,
21,66630,,PlayStation 4,82h,NR,,11809226,Completed,First,,82h,,140h,,
22,66630,kadse,PlayStation 4,82h 42m,80%,,12015445,Completed,First,"June 17, 2020",82h 42m,,,,
23,66630,,PlayStation 4,83h 22m,NR,,11514665,Completed,Replay,,83h 22m,,,,
24,66630,,PlayStation 4,83h 55m,NR,,11814895,Completed,First,,83h 55m,,,,
25,66630,,PlayStation 4,83h 56m,NR,,11440374,Completed,First,,83h 56m,,,,
26,66630,,PlayStation 4,85h,NR,,11534599,Completed,First,,85h,100h,,,
27,66630,Hakari,PlayStation 4,85h,NR,,11467029,Completed,First,"April 16, 2020",85h,100h,120h,,
28,66630,ViVa,PlayStation 4,85h,80%,,11771175,Completed,First,"May 17, 2020",85h,116h,,,
29,66630,,PlayStation 4,85h 11m,NR,,11412276,Completed,First,,85h 11m,,,,
30,66630,,PlayStation 4,85h 23m,NR,,11641764,Completed,First,,85h 23m,,,,
31,66630,,PlayStation 4,85h 23m,NR,,11827398,Completed,First,,85h 23m,,,,
32,66630,,PlayStation 4,85h 30m,NR,,11893079,Completed,First,,85h 30m,,,,
33,66630,dmgash,PlayStation 4,85h 47m,NR,,11690712,Completed,First,"May 09, 2020",85h 47m,,,,
34,66630,Alpharad,PlayStation 4,86h,100%,,11516636,Completed,First,,86h,,,,
35,66630,Private,PlayStation 4,86h 15m,100%,,11398683,Completed,First,"April 06, 2020",86h 15m,,,,
36,66630,DayJay29,PlayStation 4,86h 40m,100%,,11612857,Completed,First,,86h 40m,,,,
37,66630,brandondelvalle,PlayStation 4,88h 46m,100%,,11597479,Completed,First,"April 16, 2020",88h 46m,,,,
38,66630,SuperSocks7,PlayStation 4,89h 32m,100%,,11638987,Completed,First,"May 03, 2020",89h 32m,,,,
39,66630,swordclaws,PlayStation 4,89h 59m,100%,,11690174,Completed,First,"May 09, 2020",89h 59m,,,,
40,66630,,PlayStation 4,90h,NR,Got original true ending,11478032,Completed,First,,90h,,,,
41,66630,,PlayStation 4,90h,NR,,11537858,Completed,First,,90h,,,,
42,66630,,PlayStation 4,90h,NR,,11608340,Completed,First,,90h,105h,120h,,
