,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Speedrun,Personal Notes,100% Speedrun,Progress
0,5304,blackMamba1187,Xbox 360,1h 10m,NR,,9112719,Replay Completed,Replay,"August 22, 2010",1h 10m,,,,,,
1,5304,,PC,1h 12m,NR,,489430,Completed,Replay,,1h 12m 10s,,,,,,
2,5304,JohnPlaya,PC,1h 14m,NR,,3966077,Completed,First,"January 23, 2017",1h 14m 26s,,,,,,
3,5304,NBSN,Xbox 360,1h 14m,70%,,1191083,Completed,First,,1h 14m 38s,,,,,,
4,5304,Mesiex,PC,1h 18m,NR,,5811563,Completed,First,,1h 18m,,,,,,
5,5304,,PC,1h 19m,NR,,4724580,Completed,First,,1h 19m,,,,,,
6,5304,,PlayStation 4,1h 20m,NR,,3032704,Completed,Replay,,1h 20m,,,,,,
7,5304,Private,PC,1h 20m,NR,,1152816,Completed,First,"January 26, 2015",1h 20m,,,,,,
8,5304,Zacarias,Xbox 360,1h 20m,NR,,4289720,Completed,First,,1h 20m 33s,,,,,,
9,5304,,PlayStation 3,1h 23m,NR,,449692,Completed,Replay,,1h 23m,,,,,,
10,5304,SamuelDmusic,PC,1h 25m,NR,,6370510,Completed,Replay,,1h 25m,,,,,,
11,5304,ic3m4n961112,PC,1h 25m,70%,,4811593,Completed,First,"July 26, 2017",1h 25m,,,,,,
12,5304,Private,PC,1h 29m,70%,,1458172,Completed,First,"August 24, 2014",1h 29m,,,,,,
13,5304,,,1h 30m,NR,,288289,Completed,First,,1h 30m,,,,,,
14,5304,,PC,1h 30m,NR,,3149922,Completed,First,,1h 30m,,,,,,
15,5304,Domino,Nintendo Switch,1h 30m,70%,,11329200,Completed,First,"April 20, 2020",1h 30m,2h,2h 30m,,,,
16,5304,ROBALEXXX_CP,Xbox One,1h 30m,100%,,3166854,Completed,First,"February 10, 2016",1h 30m,2h 30m,,,,,
17,5304,Sverte,PC,1h 30m,NR,,696196,Completed,Replay,"December 23, 2013",1h 30m,,,,,,
18,5304,patrickbard,PC,1h 30m,NR,,3227578,Completed,Replay,"August 21, 2014",1h 30m,2h,17h,1h,,,
19,5304,sabrovic,PC,1h 30m,NR,,4820960,Completed,First,"November 26, 2012",1h 30m,,,,,,
20,5304,yulomax,PC,1h 30m,NR,,10393584,Completed,First,"November 04, 2019",1h 30m,,,,,,
21,5304,LeRone,PC,1h 33m,NR,,698670,Completed,First,"May 25, 2013",1h 33m,,,,,,
22,5304,RasereiHojo,PlayStation 3,1h 37m,100%,,372229,Completed,First,"August 06, 2013",1h 37m 25s,,2h 45m 15s,,,,
23,5304,EhLeeUht,PC,1h 39m,NR,,5544421,Completed,Replay,"December 30, 2017",1h 39m,,,,,,
24,5304,,Xbox 360,1h 40m,NR,,288292,Completed,First,,1h 40m,,,,,,
25,5304,gzzzt,PC,1h 40m,NR,,602710,Completed,Replay,"January 29, 2014",1h 40m,,,,,,
26,5304,Deepstar,PC,1h 43m,70%,,435916,Completed,First,"December 29, 2011",1h 43m,,,,,,
27,5304,Alzorath,PC,1h 45m,60%,,10217820,Custom List Completed,First,,1h 45m,,,,,,
28,5304,Averrant,PC,1h 45m,90%,Beating the game without dying more than 5 deaths was hell.,4743286,Completed,First,"July 09, 2017",1h 45m,2h 10m,8h 14m,,Getting the last achievement (No Point In Dying) made me experience more rage than I have in a while.,,
29,5304,ljb312,PC,1h 45m,60%,,132502,Completed,First,"January 27, 2013",1h 45m,,,,,,
30,5304,,PC,1h 45m,NR,,424780,Completed,First,,1h 45m 23s,,,,,,
31,5304,Flye,PC,1h 47m,NR,,3800892,Completed,First,"April 09, 2017",1h 47m 39s,,,,,,
32,5304,BloSheetUp,PC,1h 50m,NR,,3985800,Completed,Replay,,1h 50m,,,,,,
33,5304,n_wist,PC,1h 50m,80%,,1576771,Completed,Replay,"July 31, 2015",1h 50m,,,,,,
34,5304,Tarnop,PC,1h 53m,NR,,5295805,Completed,Replay,,1h 53m,,,,,,
35,5304,Dullahan,PC,1h 55m,80%,,558631,Completed,First,"January 06, 2014",1h 55m,,,,,,
36,5304,Private,PC,1h 55m,60%,,581138,Completed,First,"December 12, 2013",1h 55m,,,,,,
37,5304,mecasrazor,PC,1h 56m,NR,,795189,Completed,First,,1h 56m,,,,,,
38,5304,kyoukishoji,PC,1h 59m,NR,,780176,Completed,First,"November 06, 2014",1h 59m 05s,,,,,,
39,5304,,PC,1h 59m,NR,,9183430,Completed,First,,1h 59m 20s,,,,,,
40,5304,,PC,2h,NR,,472478,Completed,First,,2h,,,,,,
41,5304,,PC,2h,NR,,501516,Completed,First,,2h,,,,,,
42,5304,,Xbox 360,2h,NR,,763024,Completed,Replay,,2h,3h 30m,,,,,
43,5304,,PC,2h,NR,,768349,Completed,First,,2h,,,,,,
44,5304,,Xbox One,2h,NR,,1059993,Completed,First,,2h,,,,,,
45,5304,,PC,2h,NR,,1113998,Completed,First,,2h,,,,,,
46,5304,,PC,2h,NR,,3199891,Completed,Replay,,2h,,,,,,
47,5304,,PC,2h,NR,,4214390,Completed,First,,2h,,,,,,
48,5304,,PC,2h,NR,,4600698,Completed,First,,2h,,,,,,
49,5304,,PC,2h,NR,,8851811,Completed,First,,2h,4h 15m,6h 30m,,,,
50,5304,,PC,2h,NR,Rushed,11613620,Completed,Replay,,2h,,,,,,
51,5304,Arkatekt,PC,2h,NR,,341106,Completed,First,,2h,,,,,,
52,5304,Ascerbus,PC,2h,NR,,77857,Completed,First,"September 09, 2012",2h,,,,,,
53,5304,Axyron,PC,2h,NR,,3410109,Completed,First,"September 10, 2016",2h,,,,,,
54,5304,Betovsky,PC,2h,90%,,1275227,Completed,First,"July 18, 2012",2h,,,,,,
55,5304,BioSector,PC,2h,NR,,385160,Completed,First,,2h,,,,,,
56,5304,Bozzz,PC,2h,NR,,4508475,Completed,First,,2h,,,,,,
57,5304,Briz9,PC,2h,70%,,237689,Completed,First,"February 19, 2013",2h,,,,,,
58,5304,DrRedshaw,PC,2h,90%,,10183396,Backlog Completed,First,"July 24, 2015",2h,,,,,,
59,5304,EUcasanova,PC,2h,NR,,3012452,Completed,First,"May 25, 2016",2h,,,,,,
60,5304,Private,PC,2h,NR,"Short game, pretty fun stuff though, deaths are hella brutal",7860821,Completed,First,"September 28, 2018",2h,,,,,,
61,5304,Fistberg,PC,2h,70%,,1261110,Completed,First,,2h,,,,,,
62,5304,GhaliPotter,PlayStation 3,2h,NR,,8870053,Completed,First,"June 28, 2017",2h,,,,,,
63,5304,GustavoPix,PC,2h,NR,,11750685,Completed,First,"May 15, 2020",2h,,,,,,
64,5304,Hazz3r,PC,2h,NR,,4311582,Completed,Replay,"December 17, 2017",2h,,,,,,
65,5304,Henry_G,PC,2h,80%,,1085864,Playing Completed,First,,2h,,,,,,
66,5304,HuntFifa,PC,2h,NR,Not with the 'No point dying' achievement of course,3950714,Completed,Replay,,2h,,,,,,
67,5304,Icebound777,PC,2h,NR,,263711,Completed,First,,2h,,,,,,
68,5304,J4mm1n,PC,2h,70%,,1674667,Completed,First,"June 09, 2013",2h,,,,,,
69,5304,Jackehatti,PC,2h,NR,,263769,Completed,First,,2h,,,,,,
70,5304,Jozeevis,PC,2h,NR,,6157412,Completed,First,,2h,,,,,,
71,5304,Kapsfire,PC,2h,NR,,9159644,Completed,First,,2h,,,,,,
72,5304,Private,PC,2h,NR,,1118767,Completed,First,,2h,,,,,,
73,5304,KrazeeBob,PlayStation 4,2h,NR,,3635850,Completed,First,"November 21, 2016",2h,,,,,,
74,5304,Private,PC,2h,10%,,5690913,Completed,First,,2h,,,,,,
75,5304,Private,PC,2h,NR,,6451156,Completed,First,"July 08, 2016",2h,,,,,,
76,5304,Madd1n0,PC,2h,NR,,8771551,Completed,First,"June 21, 2016",2h,,,,,,
77,5304,Madmagican,PC,2h,80%,,536101,Completed,First,"December 06, 2013",2h,2h 10m,3h,1h,,1h 25m,
78,5304,MichNeko,PC,2h,NR,,3630041,Completed,First,,2h,,,,,,
79,5304,Private,PC,2h,NR,,1321417,Completed,First,"April 28, 2015",2h,,,,,,
80,5304,Pkhoward2008,PlayStation Vita,2h,90%,,1427133,Completed,First,,2h,,,,,,
81,5304,Scythica,PC,2h,NR,Credits,4835277,Completed,First,"January 19, 2017",2h,,,,,,
82,5304,Sinrost,PC,2h,80%,,3491121,Completed,First,"August 10, 2015",2h,,,,Physics,,
83,5304,SolidJaum,PC,2h,NR,,5443663,Completed,First,,2h,,,,,,
84,5304,Spodge,PC,2h,NR,,116496,Completed,First,"July 20, 2012",2h,,,,,,
85,5304,Steags,PC,2h,NR,,3794817,Completed,First,,2h,,,,,,
86,5304,Tatoa,PC,2h,NR,,3543914,Completed,First,"October 23, 2016",2h,,,,,,
87,5304,UnearthlyTrance,PC,2h,NR,,3170545,Completed,First,"July 03, 2016",2h,,,,,,
88,5304,YargMonster,PC,2h,NR,,4638656,Completed,First,"June 26, 2017",2h,,,,,,
89,5304,Zominator,PC,2h,NR,,10728875,Completed,First,"July 12, 2019",2h,,,,,,
90,5304,Private,PC,2h,NR,,529878,Completed,First,,2h,,,,,,
91,5304,benjoe73,PlayStation 3,2h,90%,,784521,Replay Completed,Replay,"June 29, 2014",2h,,,,,,
