,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress
0,38061,fb_x,PlayStation 4,19h 46m,NR,,10432944,Completed,First,"November 16, 2019",19h 46m 32s,,,,
1,38061,,PlayStation 4,20h 50m,NR,,10552183,Completed,First,,20h 50m 59s,,,,
2,38061,,PlayStation 4,24h,NR,,10392157,Completed,First,,24h,,,,
3,38061,,PlayStation 4,25h 12m,NR,,10424149,Completed,First,,25h 12m 18s,,,,
4,38061,Skullbro,PlayStation 4,25h 30m,NR,,11430404,Completed,First,"December 22, 2019",25h 30m,50h 45m 30s,,,
5,38061,CyDi,PlayStation 4,26h,90%,,10666049,Completed,Replay,"December 26, 2019",26h,,,,
6,38061,PuffMama,PlayStation 4,26h,70%,,10707196,Completed,First,"January 06, 2020",26h,,,,
7,38061,,PlayStation 4,26h 07m,NR,Main Story Only,11292290,Completed,First,,26h 07m 15s,,,,
8,38061,,PlayStation 4,26h 29m,NR,Rushing. Didn't enjoy it much,11029959,Completed,First,,26h 29m 11s,,,,
9,38061,Private,PlayStation 4,26h 30m,70%,,10560115,Completed,First,"December 08, 2019",26h 30m,,,,
10,38061,,PlayStation 4,26h 30m,NR,,10425215,Completed,First,,26h 30m 23s,,,,
11,38061,Sai077,PlayStation 4,27h 10m,NR,,10382048,Completed,First,"November 16, 2019",27h 10m 36s,,,,
12,38061,,PlayStation 4,27h 15m,NR,,10422141,Completed,First,,27h 15m,,,,
13,38061,1FlyingMonk1,PlayStation 4,27h 22m,NR,,10414892,Completed,First,"November 12, 2019",27h 22m 22s,,,,
14,38061,Sentry,PlayStation 4,27h 25m,NR,,10410681,Completed,First,"November 11, 2019",27h 25m 12s,,,,
15,38061,,PlayStation 4,27h 34m,NR,,10613298,Completed,First,,27h 34m,,,,
16,38061,,PlayStation 4,27h 34m,NR,,10442852,Completed,First,,27h 34m 30s,,,,
17,38061,Akitrotro,PlayStation 4,27h 41m,NR,,10423578,Completed,First,"November 14, 2019",27h 41m 18s,,,,
18,38061,Private,PlayStation 4,27h 55m,100%,,10399100,Completed,First,"November 10, 2019",27h 55m 22s,,,,
19,38061,,PlayStation 4,28h,NR,,10426235,Completed,First,,28h,35h,80h,,
20,38061,dmgash,PlayStation 4,28h 38m,NR,,10469297,Completed,First,"November 23, 2019",28h 38m,,,,
21,38061,inmuse,PlayStation 4,28h 53m,NR,40/63 trophies,10742996,Completed,First,"January 21, 2020",28h 53m,,,"[01/03/20] Started playing
[01/21/20] Finished Main",
22,38061,,PlayStation 4,28h 55m,NR,,11774431,Completed,First,,28h 55m,,,,
23,38061,,PlayStation 4,29h,NR,,10517473,Completed,First,,29h,51h 48m,80h,,
24,38061,,PlayStation 4,29h,NR,,10930652,Completed,First,,29h,,,,
25,38061,gavinng,PlayStation 4,29h,80%,,10535894,Completed,First,"December 04, 2019",29h,,,,
26,38061,SageCreations,PlayStation 4,29h 11m,NR,,10422666,Completed,First,"November 17, 2019",29h 11m 11s,,,,
27,38061,,PlayStation 4,29h 17m,NR,,11357455,Completed,First,,29h 17m 23s,45h,90h,,
28,38061,,PlayStation 4,29h 20m,NR,,10575151,Completed,First,,29h 20m 11s,,,,
29,38061,,PlayStation 4,29h 33m,NR,,10652379,Completed,First,,29h 33m 42s,,,,
30,38061,FlourHome,PlayStation 4,29h 38m,100%,,10437749,Completed,First,"November 17, 2019",29h 38m 40s,,,,
31,38061,Elficzek,PlayStation 4,29h 39m,80%,,10469702,Completed,First,"November 23, 2019",29h 39m,,,,
32,38061,sepharas,PlayStation 4,29h 45m,NR,,10413120,Completed,First,"November 11, 2019",29h 45m 18s,,,,
33,38061,,PlayStation 4,29h 48m,NR,,10411217,Completed,First,,29h 48m 44s,,,,
34,38061,500kevc,PlayStation 4,29h 48m,80%,Hard mode. Did the main story-line and a few extra deliveries early on.,9100696,Custom List 3 Completed,First,"November 11, 2019",29h 48m 59s,,,,
35,38061,,PlayStation 4,29h 58m,NR,,10491944,Completed,First,,29h 58m,,,,
36,38061,,PlayStation 4,29h 59m,NR,,10869323,Completed,First,,29h 59m 34s,,,,
37,38061,,PlayStation 4,30h,NR,,10376717,Completed,First,,30h,55h,90h,,
38,38061,,PlayStation 4,30h,NR,,10501454,Completed,First,,30h,90h,130h,,
39,38061,,PlayStation 4,30h,NR,,10962699,Completed,First,,30h,,,,
40,38061,,PlayStation 4,30h,NR,,11384211,Completed,First,,30h,,,,
41,38061,ArticunoBreeze,PlayStation 4,30h,70%,,10381956,Completed,First,,30h,42h 58m 36s,,,
42,38061,DreamEaglr,PlayStation 4,30h,NR,,10420304,Completed,First,"November 13, 2019",30h,40h,70h,,
43,38061,JemmyPaeg,PlayStation 4,30h,NR,,10780145,Completed,First,"April 04, 2020",30h,,,,
44,38061,bcoakiot,PlayStation 4,30h,NR,,10438622,Completed,First,"November 17, 2019",30h,,,,
45,38061,gamerjeffro,PlayStation 4,30h,NR,,10491958,Completed,First,"December 20, 2019",30h,,,,
46,38061,lugocain,PlayStation 4,30h,NR,,11781833,Completed,First,"May 06, 2020",30h,,120h,,
47,38061,trixor,PlayStation 4,30h,NR,,10636508,Completed,First,"December 22, 2019",30h,,,,
48,38061,,PlayStation 4,30h 01m,NR,,10554732,Completed,First,,30h 01m 34s,,,,
49,38061,esq373,PlayStation 4,30h 03m,90%,,11867012,Completed,First,"May 29, 2020",30h 03m,,,,
50,38061,,PlayStation 4,30h 04m,NR,,10978282,Completed,First,,30h 04m 20s,,,,
51,38061,footedjupiter,PlayStation 4,30h 05m,90%,,10422927,Completed,First,"November 13, 2019",30h 05m,,,,
52,38061,Anjanesh,PlayStation 4,30h 14m,NR,,11000176,Completed,First,"February 17, 2020",30h 14m 27s,,,,
53,38061,,PlayStation 4,30h 15m,NR,,10704630,Completed,First,,30h 15m 32s,,,,
54,38061,,PlayStation 4,30h 20m,NR,,10606762,Completed,First,,30h 20m,,,,
55,38061,Nessun,PlayStation 4,30h 20m,NR,,10422132,Completed,First,"November 13, 2019",30h 20m,,,,
56,38061,,PlayStation 4,30h 20m,NR,,11909193,Completed,First,,30h 20m 15s,,,,
57,38061,,PlayStation 4,30h 28m,NR,,11416191,Completed,First,,30h 28m 24s,,,,
58,38061,,PlayStation 4,30h 30m,NR,,10440263,Completed,First,,30h 30m,,,,
59,38061,,PlayStation 4,30h 30m,NR,,10549694,Completed,First,,30h 30m 50s,,,,
60,38061,Private,PlayStation 4,30h 31m,NR,,10395149,Completed,First,"November 24, 2019",30h 31m 45s,,,,
61,38061,,PlayStation 4,31h,NR,,10532251,Completed,First,,31h,,,,
62,38061,,PlayStation 4,31h,NR,,11403870,Completed,First,,31h,,,,
