,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Speedrun,Progress,Personal Notes,Co-Op,Retired Notes,Vs.,100% Speedrun
0,7231,DTM29,PC,1h 25m,NR,,117536,Completed,Replay,"May 13, 2012",1h 25m 07s,,,,,,,,,
1,7231,Rangean,PC,1h 35m,80%,,6629398,Completed,Replay,"July 20, 2018",1h 35m,,,,,,,,,
2,7231,,PC,1h 40m,NR,,9054011,Completed,Replay,,1h 40m 56s,,,,,,,,,
3,7231,itswallsss,PC,1h 55m,NR,,11421278,Completed,First,,1h 55m,,,,,,,,,
4,7231,Agusbero,PC,2h,NR,,7895127,Replay Completed,Replay,"December 31, 2018",2h,,,,,,,,,
5,7231,PrinceMohamed,PC,2h,NR,,2467081,Completed,First,"October 29, 2015",2h,,,,,,,,,
6,7231,xTechnomancer,PC,2h,NR,,8652723,Completed,Replay,,2h,,,,,,,,,
7,7231,,PC,2h 01m,NR,,4084919,Completed,First,,2h 01m 01s,4h 05m 01s,6h 08m 07s,,,,,,,
8,7231,Joek,PC,2h 05m,NR,,10456608,Completed,Replay,"November 19, 2019",2h 05m 37s,,,,,,,,,
9,7231,shockfrost24,PC,2h 24m,NR,,257455,Completed,Replay,"August 21, 2011",2h 24m,,,,,,,,,
10,7231,,PC,2h 30m,NR,,3806831,Completed,Replay,,2h 30m,,,,,,,,,
11,7231,,PC,2h 30m,NR,,5678880,Completed,First,,2h 30m,,,,,,,,,
12,7231,,PlayStation 3,2h 30m,NR,,5788314,Completed,Replay,,2h 30m,,,,,,,,,
13,7231,freredarme,PC,2h 30m,70%,,61148,Completed,First,,2h 30m,,,,,,,,,
14,7231,MrROBINKONG,PC,2h 38m,NR,,10981541,Completed,Replay,"February 12, 2020",2h 38m 27s,,,2h 38m 26s,,,,,,
15,7231,,PC,2h 46m,NR,,4452093,Completed,Replay,,2h 46m 12s,,,,,,,,,
16,7231,,PC,2h 57m,NR,Died three times in total,6418326,Completed,Replay,,2h 57m 34s,,,,,,,,,
17,7231,,PC,3h,NR,,293382,Completed,First,,3h,,,,,,,,,
18,7231,,PC,3h,NR,,9426579,Completed,Replay,,3h,,,,,,,,,
19,7231,AhkmedWithers,PC,3h,NR,,11943736,Completed,Replay,,3h,,,,,,,,,
20,7231,Kanti,PC,3h,NR,,2564428,Completed,First,"August 27, 2014",3h,,,,,,,,,
21,7231,finnvisible,PC,3h,NR,,7267664,Replay Completed,Replay,,3h,,,,,,,,,
22,7231,Private,PC,3h,NR,,57313,Completed,First,"June 01, 2012",3h,,,,,,,,,
23,7231,willwill,PC,3h,NR,,7670911,Completed,Replay,"December 08, 2018",3h,,,,,,,,,
24,7231,,PC,3h 09m,NR,first time timing myself but i think i could do better,11544495,Completed,Replay,,3h 09m 13s,,,,,,,,,
25,7231,balitingtong1,PC,3h 10m,100%,,2865908,Completed,Replay,"April 16, 2016",3h 10m,,,,,,,,,
26,7231,,PC,3h 25m,NR,,10896259,Completed,Replay,,3h 25m,,,,,,,,,
27,7231,coltonious,PC,3h 28m,100%,,11614379,Replay Completed,Replay,"May 01, 2020",3h 28m,,,,3h 28m /,Some screw ups. could easily reduce time by at least half an hour,,,,
28,7231,,PC,3h 30m,NR,,10857016,Completed,Replay,,3h 30m,,,,,,,,,
29,7231,,PC,3h 32m,NR,,2119352,Completed,First,,3h 32m,,,,,,,,,
30,7231,,PC,3h 33m,NR,Replay with knowledge form previous playthrough for video game walkthrough.,674695,Completed,Replay,,3h 33m 27s,,,,,,,,,
31,7231,,Xbox 360,3h 38m,NR,,8869512,Completed,Replay,,3h 38m 01s,,,,,,,,,
32,7231,lewdmeat,PC,3h 39m,100%,,11534598,Replay Custom List Completed,Replay,"April 24, 2020",3h 39m 50s,,,,,,,,,
33,7231,,PC,3h 42m,NR,,3518997,Completed,Replay,,3h 42m 44s,,,,,,,,,
34,7231,,PC,3h 43m,NR,,8837329,Completed,Replay,,3h 43m,,,,,,,,,
35,7231,,PlayStation 3,3h 43m,NR,,4554692,Completed,Replay,,3h 43m 22s,,,,,,,,,
36,7231,TheDanx,PC,3h 48m,NR,2nd playthrough,7112947,Completed,Replay,"September 24, 2018",3h 48m 16s,,,,,,,,,
37,7231,Blackbird,PC,3h 53m,NR,,5195946,Completed,Replay,,3h 53m,,,,,,,,,
38,7231,andrewl3779,PC,3h 54m,90%,Last time I completed this game was when it was first released. Time taken from ManicTime.,9037719,Completed,Replay,"June 26, 2019",3h 54m 04s,,,,,,,,,
39,7231,MrROBINKONG,PC,3h 55m,90%,Main story Plus Co-up,10889822,Completed,Replay,"January 27, 2020",3h 55m 31s,8h 25m 20s,,,,Co-up Finished 6-2-2020,4h 29m 49s,,,
40,7231,Sora1248,PC,3h 58m,100%,,3587660,Completed,Replay,,3h 58m,,,,,Co-Op: Replay for me and first playthrough for my friend.,3h 27m 02s,,,
41,7231,,PC,4h,NR,,1359835,Completed,First,,4h,,,,,,,,,
42,7231,,PC,4h,NR,,1888357,Completed,Replay,,4h,,,,,,,,,
43,7231,,Mac,4h,NR,,1907496,Completed,Replay,,4h,,,,,,,,,
44,7231,,PC,4h,NR,,4750139,Completed,Replay,,4h,,,,,,,,,
45,7231,,PC,4h,NR,,6568784,Completed,Replay,,4h,,,,,,,,,
46,7231,,PC,4h,NR,,7845994,Completed,First,,4h,,,,,,,,,
47,7231,,Xbox 360,4h,NR,,10859284,Completed,Replay,,4h,,,,,,,,,
48,7231,,PC,4h,NR,,11489641,Completed,Replay,,4h,,,,,,,,,
49,7231,,PC,4h,NR,,11982930,Completed,Replay,,4h,,,,,,,,,
50,7231,CalvinCXV,PC,4h,100%,,4913546,Completed,First,"August 15, 2017",4h,,,,,,,,,
51,7231,Darc3k,PC,4h,NR,,2530598,Completed,First,,4h,,,,,,,,,
52,7231,Fabian1459,PC,4h,NR,,8107175,Completed,First,,4h,,,,,,18h 02m,,,
