,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Speedrun
0,1065,PowerSlaveAlfons,PC,4h 33m,NR,"No Deaths, Easy",5512373,Completed,First,"December 25, 2017",4h 33m 16s,,,,,
1,1065,,PC,4h 41m,NR,,6496475,Completed,First,,4h 41m,,,,,
2,1065,,Mac,5h,NR,,2847556,Completed,Replay,,5h,,,,,
3,1065,BoxDroppingManApe,PC,5h,60%,,86587,Completed,Replay,,5h,,,,,
4,1065,Rulfer,PC,5h,NR,,10363289,Completed,First,"December 14, 2013",5h,,,,,
5,1065,Tusk,PC,5h 08m,70%,"Crashed once on the Cohen level, and I had to restart the whole level.",4707716,Completed,First,"July 06, 2017",5h 08m,,,,,
6,1065,,Xbox One,5h 12m,NR,,10730160,Completed,First,,5h 12m,,,,,
7,1065,JimWats,PC,5h 15m,NR,,10883692,Backlog Completed,Replay,"January 30, 2020",5h 15m,,,,,
8,1065,cerebralx,Xbox 360,5h 21m,NR,Diffuculty: Easy. Saved all the Little Sisters.,85253,Completed,First,"October 26, 2012",5h 21m 51s,,,,,
9,1065,,PlayStation 3,5h 23m,NR,,10562265,Completed,First,,5h 23m,,,,,
10,1065,MoonBear,PC,5h 23m,NR,,11705549,Completed,First,"May 11, 2020",5h 23m,,,,,
11,1065,,PC,5h 24m,NR,,11777566,Completed,First,,5h 24m 30s,,,,,
12,1065,dinocrisis22,Xbox 360,5h 25m,NR,"the game is great, it has its share of challenges along the way, but that is the fun of the game...",260757,Completed,First,"January 17, 2013",5h 25m 10s,,,,,
13,1065,ziggystardust65,PC,5h 30m,80%,,5115647,Completed,First,"October 06, 2017",5h 30m,,,,,
14,1065,tstddj,PC,5h 36m,80%,,218926,Completed,First,"January 22, 2013",5h 36m,,,,,
15,1065,,PC,5h 40m,NR,,557450,Completed,First,,5h 40m 30s,,,,,
16,1065,fromeister,PC,5h 54m,NR,,4247751,Completed,First,"December 01, 2015",5h 54m,,,,,
17,1065,,Xbox 360,5h 54m,NR,,1975976,Completed,Replay,,5h 54m 23s,,,,,
18,1065,,PC,5h 54m,NR,,3433819,Completed,First,,5h 54m 29s,,,,,
19,1065,,PC,6h,NR,,878225,Completed,First,,6h,,,,,
20,1065,,PC,6h,NR,,1406834,Completed,First,,6h,,,,,
21,1065,,PC,6h,NR,Why is the average 12 wtf? I played it pretty leisurely and steam says I have 6 hours in it.,1925662,Completed,First,,6h,,,,,
22,1065,,PC,6h,NR,,4705455,Completed,First,,6h,,,,,
23,1065,,PC,6h,NR,,8658694,Completed,First,,6h,,,,,
24,1065,,PC,6h,NR,,9019304,Completed,First,,6h,,,,,
25,1065,,PC,6h,NR,,9550488,Completed,First,,6h,,,,,
26,1065,AlcibiadeFox,PC,6h,NR,,8822885,Completed,First,"November 29, 2018",6h,,,,,
27,1065,Private,PC,6h,NR,,955849,Completed,First,"September 28, 2014",6h,,,,,
28,1065,CowboyBuckaroo,PC,6h,NR,,10604912,Completed,Replay,"December 16, 2019",6h,,,,,
29,1065,Gamerzooneth,Xbox One,6h,NR,,6134832,Replay Completed,Replay,"February 14, 2018",6h,,,,,
30,1065,Olkkiman,PC,6h,NR,,6095303,Completed,First,"April 08, 2018",6h,,,,,
31,1065,Rimsen,PC,6h,NR,,8596402,Completed,Replay,"February 03, 2018",6h,,,,,
32,1065,SuperPayne,PC,6h,NR,,639837,Completed,First,"February 24, 2013",6h,,,,,
33,1065,ZodyarkXV,PC,6h,80%,,6094040,Completed,Replay,,6h,9h,14h,,,
34,1065,eCinS,PC,6h,NR,,1033916,Completed,First,"November 24, 2013",6h,,,,,
35,1065,iRoSsS,PC,6h,NR,,1091880,Completed,First,"August 22, 2014",6h,8h,,,,
36,1065,reteweee,PC,6h,NR,Normal difficult,6193929,Completed,First,"April 25, 2018",6h,,,,,
