,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Speedrun
0,1068,PowerSlaveAlfons,PC,4h 54m,NR,Easy Difficulty,5545050,Completed,First,"December 30, 2017",4h 54m 32s,,,,,
1,1068,Shadowfenix1705,PC,5h 07m,80%,,4116379,Completed,First,"January 03, 2015",5h 07m,,,,,
2,1068,JTHP,Xbox One,5h 20m,NR,,8505955,Completed,First,"March 23, 2019",5h 20m 10s,,,,,
3,1068,,PC,5h 45m,NR,,5126038,Completed,Replay,,5h 45m,,,,,
4,1068,shadowfade,PC,5h 55m,NR,,245152,Completed,First,"March 29, 2013",5h 55m,,,,,
5,1068,,PC,5h 55m,NR,,8720397,Completed,First,,5h 55m 34s,,,,,
6,1068,,PC,6h,NR,,294131,Completed,First,,6h,,,,,
7,1068,,PC,6h,NR,,495861,Completed,First,,6h,,,,,
8,1068,,PC,6h,NR,,537539,Completed,First,,6h,,,,,
9,1068,,PC,6h,NR,,601016,Completed,First,,6h,,,,,
10,1068,,PC,6h,NR,,1360711,Completed,First,,6h,,,,,
11,1068,,PC,6h,NR,,2384220,Completed,First,,6h,,,,,
12,1068,,PC,6h,NR,,2435627,Completed,Replay,,6h,10h,17h,,,
13,1068,,PC,6h,NR,,3685723,Completed,First,,6h,7h,,,,
14,1068,,PC,6h,NR,,5976054,Completed,First,,6h,,,,,
15,1068,MoldyStirFry,PC,6h,NR,,7011922,Completed,First,,6h,,,,,
16,1068,Valefar,PC,6h,80%,,523295,Completed,First,,6h,,,,,
17,1068,adam445,PC,6h,NR,,745994,Completed,First,"January 01, 2014",6h,,,,,
18,1068,craigx1995,PC,6h,80%,,7775655,Completed,First,"December 18, 2018",6h,,,,,
19,1068,Private,PC,6h,90%,Normal difficulty,7008466,Completed,First,"June 18, 2013",6h,,,Start: 2013-06-18 | Beat: 2013-06-18,,
20,1068,mblegacy,PC,6h,NR,,271039,Completed,First,,6h,,,,,
21,1068,winr10,PC,6h,80%,,908562,Completed,First,"August 07, 2014",6h,,,,,
22,1068,,Xbox One,6h 08m,NR,,8051556,Completed,First,,6h 08m 23s,,,,,
23,1068,Private,PlayStation 4,6h 09m,80%,,3598837,Completed,First,"November 11, 2016",6h 09m,,,,,
24,1068,,PC,6h 10m,NR,,767569,Completed,First,,6h 10m 12s,,,,,
25,1068,,PC,6h 12m,NR,,3117936,Completed,First,,6h 12m,,,,,
26,1068,,PC,6h 15m,NR,,8841641,Completed,First,,6h 15m,,,,,
27,1068,zezo,PC,6h 15m,NR,,7230744,Completed,Replay,"October 08, 2018",6h 15m 20s,20h,,,,
28,1068,tobesplays,PC,6h 20m,NR,,11537778,Completed,First,,6h 20m,,,,,
29,1068,zpattack12,PC,6h 22m,70%,,435807,Completed,First,"December 08, 2013",6h 22m 32s,,,,,
30,1068,stealthydeer,PC,6h 25m,NR,,779157,Completed,First,"June 28, 2014",6h 25m,,,"short game, but great story line and graphics",,
31,1068,,PC,6h 30m,NR,,294202,Completed,First,,6h 30m,,,,,
32,1068,Gloop,PC,6h 30m,NR,,786274,Completed,First,"July 02, 2014",6h 30m,,,,,
33,1068,Will1,PC,6h 30m,NR,,9188184,Completed,First,"July 19, 2019",6h 30m,,,,,
34,1068,Private,PC,6h 30m,NR,,1211526,Completed,First,,6h 30m,,,,,
35,1068,stejkenzie,PC,6h 30m,NR,,11978677,Replay Completed,Replay,"June 13, 2020",6h 30m,,,,,
36,1068,subrussian,PlayStation 4,6h 30m,70%,,10184897,Custom List Completed,Replay,"October 04, 2019",6h 30m,,,,,
37,1068,theplump,PC,6h 30m,90%,,1836368,Completed,First,"October 12, 2015",6h 30m,,,Easy difficulty,,
38,1068,Private,,6h 30m,50%,,332029,Completed,First,"April 03, 2013",6h 30m,,,,,
39,1068,,PC,6h 34m,NR,"One of the most overrated games ever. Story nice, gameplay awful, execution okay at best.",294214,Completed,First,,6h 34m 52s,,,,,
40,1068,,PC,6h 40m,NR,,294170,Completed,First,,6h 40m,,,,,
41,1068,,PC,6h 42m,NR,,5521548,Completed,First,,6h 42m,,,,,
42,1068,Chris2k6,PlayStation 3,6h 43m,90%,,306111,Completed,First,"June 30, 2013",6h 43m,,,,,
