,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Personal Notes,Main+Extras,Completionist,Speedrun,Progress,Retired Notes
0,3351,slickn4,PC,5h 09m,50%,Independent/Yes Man Questline,2167467,Completed,First,"December 01, 2015",5h 09m 18s,A couple minutes over the listed time because my last in-game save is just before the final main fight at the camp at the dam.,,,,,
1,3351,,PC,5h 27m,NR,,3727052,Completed,First,,5h 27m 33s,,,,,,
2,3351,,PC,5h 38m,NR,,11119773,Completed,Replay,,5h 38m,,,,,,
3,3351,RTrobby,PC,5h 55m,NR,,1378309,Completed,First,"June 08, 2015",5h 55m 30s,,,,,,
4,3351,slickochet,PC,6h,NR,,4707,Completed,First,"October 31, 2013",6h,,,,,,
5,3351,sleek,PC,6h,NR,,3779721,Completed,First,"December 19, 2016",6h 23s,,,,,,
6,3351,,PC,6h 12m,NR,The main story is very very short and with a speedrun can be completed in slighlty over 30 minutes.,1481413,Completed,Replay,,6h 12m 43s,,,,,,
7,3351,,PC,7h,NR,,10904813,Completed,Replay,,7h,,20h,100h,,,
8,3351,,Xbox One,7h,NR,,11997480,Completed,Replay,,7h,,,,3h 31m 50s,,
9,3351,,Xbox One,7h,NR,,11997482,Completed,Replay,,7h,,,,3h 31m 50s,,
10,3351,,Xbox One,7h 20m,NR,On very easy,8353348,Completed,First,,7h 20m 55s,,,,,,
11,3351,,PC,7h 36m,NR,,5693335,Completed,Replay,,7h 36m 44s,,,,,,
12,3351,Gradaluski,PC,8h 30m,NR,,801502,Completed,First,"July 11, 2014",8h 30m,,15h 35m,100h,,,
13,3351,lewdmeat,PC,8h 33m,80%,Difficulty - Very Easy (1/5),9344087,Replay Completed,Replay,,8h 33m 46s,,,,,,
14,3351,,PC,9h,NR,,10358233,Completed,First,,9h,,,,,,
15,3351,,PC,9h 37m,NR,,2813335,Completed,First,,9h 37m,,,,,,
16,3351,,PC,9h 46m,NR,,1591198,Completed,First,,9h 46m,,,,,,
17,3351,UserOne,PC,9h 49m,NR,,8518741,Completed,First,,9h 49m,,,,,,
18,3351,,PC,10h,NR,,10715578,Completed,Replay,,10h,,20h,,,,
19,3351,ArturGG,PC,10h,NR,,9319266,Completed,First,"August 07, 2019",10h,,,,,,
20,3351,Frostie,PC,10h,NR,,10149493,Completed,First,"September 27, 2019",10h,,,,,,
21,3351,xywvw,PC,10h,100%,Yes Man ending,11311044,Playing Completed,First,"March 27, 2020",10h,,,,,43h /,
22,3351,,PC,10h 15m,NR,,11035726,Completed,First,,10h 15m 30s,,10h 45m 33s,,,,
23,3351,anithony,PC,10h 56m,NR,,4410541,Replay Completed,Replay,,10h 56m,,28h 06m,,,,
24,3351,HorridGnu41,PC,11h,NR,,6341061,Completed,First,"June 02, 2018",11h,,,,,,
25,3351,AqVadPlay,PC,11h 15m,NR,,12002081,Completed,First,"June 15, 2020",11h 15m 11s,,,,,,
26,3351,Ghuidrink,PC,11h 26m,80%,"Main Story in independent, I just did the quest for the Omerta (but not the final one). I didn't do the robot quest.",5277330,Completed,First,"November 05, 2017",11h 26m,,,,,,
27,3351,theVADER,PlayStation 3,11h 31m,70%,,2834360,Completed,First,"July 24, 2015",11h 31m,,,,,,
28,3351,,PC,12h,NR,,4513154,Completed,Replay,,12h,,50h,300h,,,
29,3351,,PC,12h,NR,,6538870,Completed,First,,12h,,,,,,
30,3351,Penguinowen,PC,12h,80%,,11046126,Completed,Replay,"February 24, 2020",12h,,,,,,
31,3351,ShadionicZX,PC,12h 23m,80%,,8807694,Completed,First,"June 27, 2019",12h 23m 46s,,,,,,
32,3351,TwoThrones,PC,12h 32m,10%,,2124114,Completed,First,"February 02, 2016",12h 32m,,,,,,
33,3351,,PC,13h,NR,,871958,Completed,First,,13h,,,,,,
34,3351,,PC,13h,NR,,9018433,Completed,First,,13h,,,,,,
35,3351,KohakuZeta,PC,13h,60%,,6474213,Completed,First,"June 25, 2018",13h,,,,,,
36,3351,LewaOhato,Xbox 360,13h,NR,,3277032,Completed,First,"July 31, 2016",13h,,,,,,
37,3351,Misnomer89,PC,13h,70%,,583972,Completed,First,,13h,,,,,,
38,3351,slival,PC,13h,NR,Beat with focusing on main quest,935428,Replay Completed,First,"September 11, 2014",13h,,,,,,
39,3351,ivanleterrible,PC,13h 23m,90%,,4201139,Completed,Replay,,13h 23m,,,,,,
40,3351,,Xbox 360,13h 24m,NR,,7515948,Completed,First,,13h 24m 12s,,,,,,
41,3351,,PC,13h 40m,NR,,286473,Completed,First,,13h 40m,,,,,,
42,3351,,PC,14h,NR,,364718,Completed,First,,14h,,30h,69h,45m,,
43,3351,Zupupu,PC,14h,NR,,11339299,Playing Completed,First,,14h,,,,,,
44,3351,fransaan,PC,14h,NR,,7306197,Completed,First,"March 24, 2018",14h,,,,,,
45,3351,kisum1994,PC,14h,NR,,4697318,Completed,First,"July 04, 2017",14h,,,,,,
