,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Main Story,Completion,Main+Extras,Completionist,Retired Notes,Personal Notes,Progress,Speedrun,100% Speedrun
0,10268,,PC,7h 46m,NR,,4175714,Completed,First,7h 46m,,,,,,,,
1,10268,,PC,9h,NR,,4613524,Completed,First,9h,,,,,,,,
2,10268,,PC,9h 30m,NR,Only the main story and a couple of side quests done.,669662,Completed,First,9h 30m,,,,,,,,
3,10268,adamaru,PC,10h,100%,,899123,Completed,Replay,10h,"August 17, 2014",,,,,,,
4,10268,cabriolet6,PC,10h 14m,80%,,7454193,Completed,First,10h 14m 55s,"November 26, 2018",,,,,,,
5,10268,CLmidi,PC,11h,80%,,3915140,Completed,First,11h,"January 11, 2017",,,,,,,
6,10268,VonDozier,PC,11h 27m,70%,"easy, few sidequests",694263,Completed,First,11h 27m 04s,"October 24, 2015",,,,,,,
7,10268,ruioliveira24,PC,12h,NR,,1405334,Completed,First,12h,"May 17, 2015",,,,,,,
8,10268,,PC,12h 05m,NR,,4233358,Completed,First,12h 05m 12s,,,,,,,,
9,10268,,PC,12h 13m,NR,,7281459,Completed,First,12h 13m 42s,,,,,,,,
10,10268,Private,PC,12h 36m,NR,,3891945,Completed,First,12h 36m,"May 20, 2011",,,,,,,
11,10268,sapphirone,PC,12h 50m,NR,,1443702,Completed,First,12h 50m,"July 06, 2015",,,,,,,
12,10268,EhLeeUht,PC,12h 54m,NR,,5195882,Completed,Replay,12h 54m,"October 20, 2017",,,,,,,
13,10268,snappums,PC,12h 55m,NR,,2165715,Completed,First,12h 55m,"December 21, 2015",,,,,,,
14,10268,,PC,13h,NR,On easy,1293629,Completed,First,13h,,,,,,,,
15,10268,DylanWE,PC,13h,NR,,6228944,Completed,First,13h,"May 10, 2018",,,,,,,
16,10268,KushMasta,PC,13h,NR,,11576737,Completed,First,13h,"April 27, 2020",20h,24h,,,,,
17,10268,MyLlama,PC,13h,NR,,9145390,Completed,Replay,13h,"July 13, 2019",25h,28h,,,,,
18,10268,Tobyx,PC,13h,NR,,1691609,Completed,Replay,13h,,,,,,,,
19,10268,,PC,13h 30m,NR,,1350387,Completed,First,13h 30m,,,,,,,,
20,10268,Multi_117,PC,13h 30m,70%,,8505574,Completed,First,13h 30m,"September 02, 2019",13h 45m 21s,,,,,,
21,10268,vecperec,PC,13h 30m,80%,,1821300,Completed,First,13h 30m,"September 14, 2015",,,,,,,
22,10268,Qonqueror,PC,13h 32m,NR,,11932324,Completed,First,13h 32m,2015,,,,,,,
23,10268,,PC,14h,NR,,4837789,Completed,First,14h,,,,,,,,
24,10268,951Jimbo,PC,14h,NR,"Just played through without thinking too much about it - did the side quests that were interesting, read subtitles.",896674,Completed,First,14h,"August 15, 2014",,,,,,,
25,10268,edersam,PC,14h,NR,,5133593,Completed,First,14h,"October 05, 2017",,,,,,,
26,10268,mieblzs,PC,14h,50%,"Easy difficulty, no side quests",213436,Completed,First,14h,"March 09, 2013",,,,,,,
27,10268,,PC,14h 02m,NR,Finished,8687314,Completed,First,14h 02m,,,,,,,,
28,10268,keramique99,PC,14h 20m,NR,,11379842,Completed,First,14h 20m,"April 07, 2020",,,,,,,
29,10268,Yudaii,PC,14h 26m,NR,"''speedrunning'' main story + a biiiit of side quests, easy mode.",1348660,Completed,First,14h 26m,"May 19, 2015",,,,,,,
30,10268,,PC,15h,NR,,599927,Completed,First,15h,,,,,,,,
31,10268,,Xbox 360,15h,NR,,1283099,Completed,First,15h,,,,,,,,
32,10268,,PC,15h,NR,,2995018,Completed,First,15h,,,,,,,,
33,10268,,PC,15h,NR,,3157738,Completed,First,15h,,,,,,,,
34,10268,,PC,15h,NR,,4426891,Completed,First,15h,,,,,,,,
35,10268,,PC,15h,NR,,5855112,Completed,First,15h,,,,,,,,
