,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Personal Notes,Completionist,Vs.,Progress,Speedrun
0,1066,Tusk,PC,3h 29m,30%,"Didn't like this one as much as the first so I just rushed through it, really fast.",4709966,Completed,First,"July 07, 2017",3h 29m,,,,,,
1,1066,Bazladaz,PC,4h,NR,,10893217,Completed,First,"September 25, 2019",4h,,,,,,
2,1066,FrizzleDizle,PC,4h,NR,,1862538,Completed,First,"September 24, 2015",4h,,,,,,
3,1066,gapposai,PC,4h,50%,,4113722,Completed,First,"February 25, 2013",4h,,,,,,
4,1066,sphinxie,PC,4h,NR,,8464963,Completed,First,"December 24, 2014",4h,,,,,,
5,1066,yakuza47,PC,4h,NR,,10920824,Completed,First,"February 01, 2020",4h,,,,,,
6,1066,PowerSlaveAlfons,PC,4h 04m,NR,"Easy difficulty, didn't bother with gathering from the sisters too much",5521497,Completed,First,"December 26, 2017",4h 04m 23s,,,,,,
7,1066,snappums,PC,4h 42m,NR,,2165443,Completed,First,"November 12, 2012",4h 42m,,,,,,
8,1066,vlives,PC,4h 42m,80%,"All game was suffering from not enough ammo, 10-15 deaths, but still finished in sub 5 hours",253433,Completed,First,"March 31, 2013",4h 42m,,,,,,
9,1066,Copperore14,PC,4h 48m,NR,,2028390,Completed,First,"October 31, 2015",4h 48m,,,,,,
10,1066,,PC,5h,NR,,9124273,Completed,First,,5h,,,,,,
11,1066,,PC,5h,NR,,11163712,Completed,First,,5h,,,,,,
12,1066,Paintedacorn,PC,5h,NR,,4415644,Completed,First,"May 11, 2017",5h,,,,,,
13,1066,RRC123,PC,5h,NR,From Steam timer,6756321,Completed,First,"August 03, 2018",5h,,,,,,
14,1066,WCReiniger84,PC,5h,70%,,10311549,Completed,Replay,"October 27, 2019",5h,,,,,,
15,1066,bendikts,PC,5h,NR,,8551487,Completed,First,"April 01, 2019",5h,,,,,,
16,1066,Private,PC,5h,NR,,8453558,Completed,First,"March 12, 2019",5h,,,,,,
17,1066,reteweee,PC,5h,80%,Difficult: Normal,6193930,Completed,First,"April 28, 2018",5h,,,,,,
