,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes,Speedrun
0,2243,kireev20000,Xbox 360,8h,70%,,2794805,Completed,First,"June 26, 2010",8h,12h,,,,
1,2243,xNexu5x,PC,8h,70%,,11983430,Completed,First,"April 09, 2018",8h,,,,,
2,2243,Charli,PlayStation 4,8h 16m,80%,,8568527,Replay Completed,Replay,"December 14, 2018",8h 16m,,,,,
3,2243,Fran71,PC,8h 30m,NR,,189696,Completed,First,,8h 30m,,,,,
4,2243,Private,PC,9h,NR,,7096285,Completed,Replay,"June 21, 2018",9h,,,,,
5,2243,,PC,9h 03m,NR,Not rushed. Just the normal story.,7373227,Completed,First,,9h 03m 45s,10h 19m 26s,,,,
6,2243,bouffantcrab,PC,9h 15m,NR,,171884,Completed,First,"August 23, 2012",9h 15m 32s,,,,,
7,2243,pyrofire95,PC,9h 28m,NR,,7515708,Completed,Replay,"November 23, 2018",9h 28m 54s,,,,,
8,2243,Metshael,PlayStation 3,9h 34m,80%,,383365,Completed,First,"April 04, 2011",9h 34m 44s,,24h 30m 15s,,,
9,2243,Ozwald,PC,9h 35m,NR,,760043,Completed,First,"June 15, 2014",9h 35m,,,,,
10,2243,,Xbox One,9h 36m,NR,,5654640,Completed,Replay,,9h 36m 29s,,,,,
11,2243,rjbb03,PC,9h 51m,NR,,9112787,Completed,First,"July 08, 2019",9h 51m,,,,,
12,2243,Private,PC,10h,NR,,5650697,Completed,Replay,"January 13, 2018",10h,12h 30m,,,,
13,2243,HellKove,PC,10h,70%,,8062514,Completed,First,"January 18, 2019",10h,,,,,
14,2243,Triver,PC,10h,NR,,11318793,Completed,Replay,"April 01, 2020",10h,,,,,
15,2243,modaren,PC,10h 08m,NR,Warmastered Edition,7391889,Completed,First,"November 05, 2018",10h 08m 41s,,,,,
16,2243,,PlayStation 3,10h 15m,NR,,684391,Completed,Replay,,10h 15m 12s,,18h 34m 56s,,,
17,2243,Private,PlayStation 4,10h 24m,70%,Normal. Didn't care about side stuff.,8447327,Completed,First,"March 10, 2019",10h 24m 59s,,,,,
18,2243,,PlayStation 4,10h 30m,NR,,8683870,Completed,First,,10h 30m,,,,,
19,2243,sapphirone,PC,10h 35m,NR,Time based on Save Game File,1015481,Completed,First,"December 29, 2014",10h 35m,,,,,
20,2243,meaninoflife,Xbox 360,10h 48m,80%,,172837,Completed,First,"August 27, 2012",10h 48m,,,,,
21,2243,AidanAK47,PC,10h 49m,70%,,2115856,Completed,First,"December 25, 2016",10h 49m,,,,,
22,2243,gamebrainz,PC,10h 50m,NR,,229410,Completed,First,"January 17, 2013",10h 50m,,,,,
