,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress
0,51233,baggafx,PC,7h,NR,,10201440,Completed,First,"October 08, 2019",7h,,,,
1,51233,tobesplays,PC,7h,NR,,11537230,Completed,First,,7h,,,,
2,51233,,PlayStation 4,7h 05m,NR,,7136749,Completed,First,,7h 05m,,,,
3,51233,civoreb,PlayStation 4,7h 10m,70%,,10811380,Completed,First,"January 13, 2020",7h 10m,,,,
4,51233,KamSung,Xbox One,7h 15m,NR,,9128630,Completed,First,"February 23, 2019",7h 15m,,,,
5,51233,Mariochimaru,PlayStation 4,7h 23m,80%,Platino,8249670,Completed,Replay,"April 30, 2019",7h 23m,30h 22m,40h,,
6,51233,,PlayStation 4,7h 35m,NR,,8317522,Completed,First,,7h 35m,,,,
7,51233,KingofClassy,Xbox One,7h 35m,NR,,7101117,Completed,First,"September 22, 2018",7h 35m,,,,
8,51233,ItzBeeZy,Xbox One,7h 36m,NR,Main story only,10827133,Completed,First,"January 16, 2020",7h 36m,,,,
9,51233,miguelcosta2019,PC,7h 40m,NR,,8121308,Completed,First,"January 25, 2019",7h 40m,,,,
10,51233,Ulharvutha,PlayStation 4,7h 44m,NR,,11100161,Completed,First,"March 05, 2020",7h 44m 08s,,,,
11,51233,xBG,PC,7h 48m,NR,,10450512,Completed,First,"November 19, 2019",7h 48m,,,,
12,51233,,PlayStation 4,8h,NR,,10216089,Completed,First,,8h,,,,
13,51233,,PC,8h,NR,,10907180,Completed,First,,8h,,,,
14,51233,Doomes,PlayStation 4,8h,70%,,10591977,Completed,First,"December 14, 2019",8h,,,,
15,51233,HAGROLD,PC,8h,NR,,11610492,Completed,First,"November 03, 2019",8h,,,,
16,51233,Preetham,PC,8h,NR,,10240843,Completed,First,"October 13, 2019",8h,,,,
17,51233,slickochet,PC,8h 02m,NR,Smart and Resourceful difficulty.,7469077,Completed,First,"November 26, 2018",8h 02m 26s,,,,
18,51233,Lavarlex,PC,8h 05m,NR,,12028287,Completed,First,"January 21, 2020",8h 05m,,,,
19,51233,theplump,PlayStation 4,8h 07m,90%,54.10% Complete,8865436,Completed,First,"June 02, 2019",8h 07m,,,,
20,51233,,PC,8h 07m,NR,,7077712,Completed,First,,8h 07m 02s,,,,
21,51233,,PlayStation 4,8h 08m,NR,,7281453,Completed,First,,8h 08m,,,,
22,51233,VonDozier,PC,8h 10m,50%,52.41%,9199545,Completed,First,"July 22, 2019",8h 10m,,,,
23,51233,Private,PlayStation 4,8h 19m,60%,,11838622,Completed,First,"June 14, 2020",8h 19m 23s,,,,
24,51233,aoki2,PC,8h 20m,50%,,10620083,Completed,First,"December 31, 2019",8h 20m,,,,
25,51233,,PC,8h 20m,NR,,7053403,Completed,First,,8h 20m 22s,,,,
26,51233,,PC,8h 24m,NR,,11574952,Completed,First,,8h 24m,,,,
27,51233,benipersia,Xbox One,8h 30m,NR,,7058672,Completed,First,"September 22, 2018",8h 30m,,,,
28,51233,vecperec,PC,8h 30m,30%,,7843760,Completed,First,"December 27, 2018",8h 30m,,,,
29,51233,,Xbox One,8h 31m,NR,,8611455,Completed,First,,8h 31m 56s,,,,
30,51233,Everdred,Xbox One,8h 45m,80%,Rite of passage difficulty. Real-time. 1 side quest for an achievement. 495/1000. 280 enemies killed.,7092602,Completed,First,"September 21, 2018",8h 45m,,,,
31,51233,Yetisac98,PC,8h 45m,90%,,10831298,Completed,First,"January 16, 2020",8h 45m,,,,
32,51233,,PC,8h 48m,NR,,7071468,Completed,First,,8h 48m 32s,,,,
33,51233,Blackshaw93,PlayStation 4,8h 50m,NR,,7057020,Completed,First,"September 15, 2018",8h 50m,,,,
34,51233,modaren,PlayStation 4,8h 50m,NR,2 side quest & tombs one with the jungle,8447858,Completed,First,"March 12, 2019",8h 50m 10s,,,,
35,51233,,PC,9h,NR,,7128958,Completed,First,,9h,,,,
36,51233,,PC,9h,NR,,9182636,Completed,First,,9h,,,,
37,51233,AlcibiadeFox,PC,9h,NR,,8822889,Completed,First,"December 22, 2018",9h,,,,
38,51233,bendikts,PC,9h,NR,,7037616,Completed,First,"September 30, 2018",9h,,,,
39,51233,pecherskyi,PlayStation 4,9h,80%,,11639604,Completed,First,"May 11, 2020",9h,,,,
40,51233,liorfigman,PC,9h 02m,80%,,8067092,Completed,First,"January 18, 2019",9h 02m,,,,
41,51233,christhechro,Xbox One,9h 04m,NR,,8533272,Completed,First,"April 04, 2019",9h 04m,,,,
42,51233,coleneff,PlayStation 4,9h 07m,70%,,7449607,Completed,First,"November 21, 2018",9h 07m,,,,
43,51233,,PC,9h 10m,NR,Rushed,7687887,Completed,First,,9h 10m,,,,
44,51233,,PC,9h 14m,NR,,7081139,Completed,First,,9h 14m 56s,,,,
45,51233,ZOMG_Logan,PlayStation 4,9h 15m,70%,,7446678,Completed,First,"November 13, 2018",9h 15m,,,,
46,51233,Moddr1n,PC,9h 16m,60%,,8318167,Completed,First,"January 09, 2019",9h 16m 22s,,,,
47,51233,Echdout,PC,9h 16m,60%,,8130577,Completed,First,"January 28, 2019",9h 16m 44s,,,,
48,51233,Bouland,Xbox One,9h 17m,70%,"in-game time, main story including cinematic, normal combat and puzzle difficulty. exploration set on easy.",7052042,Completed,First,"September 14, 2018",9h 17m,,,,
49,51233,notorious_roy,Xbox One,9h 22m,80%,,10744376,Completed,First,"February 08, 2020",9h 22m,,,,
50,51233,,PC,9h 22m,NR,,7689319,Completed,First,,9h 22m 45s,,,,
51,51233,Bikioman,PlayStation 4,9h 25m,90%,,7107649,Completed,First,"September 24, 2018",9h 25m,,,,
52,51233,,PC,9h 25m,NR,,11225068,Completed,First,,9h 25m 55s,,,,
53,51233,Private,PC,9h 26m,NR,,7696996,Completed,First,"December 08, 2018",9h 26m,,,,
54,51233,beearmy,Xbox One,9h 28m,60%,,8829246,Completed,First,"May 22, 2019",9h 28m,,,,
55,51233,,PC,9h 30m,NR,,7450422,Completed,First,,9h 30m,,,,
56,51233,,PC,9h 30m,NR,,10572531,Completed,First,,9h 30m,,,,
