,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Progress,Personal Notes,Speedrun
0,11963,Tusk,PC,5h 52m,70%,The main story and some riddles,4785999,Completed,First,"July 21, 2017",5h 52m,,,,,
1,11963,,PC,6h,NR,,11032669,Completed,Replay,,6h,,,,,
2,11963,andrewl3779,PC,6h 03m,NR,Including Catwoman's campaign.,6307718,Completed,Replay,"May 27, 2018",6h 03m 50s,,,,,
3,11963,,PC,6h 06m,NR,,2746889,Completed,First,,6h 06m,18h 30m,30h,,,
4,11963,Duchu26,PC,6h 15m,90%,"61,33",6400189,Completed,Replay,"August 02, 2018",6h 15m,15h 51m,,,,
5,11963,coldfusuin,PC,6h 40m,80%,,5296818,Completed,First,"November 10, 2017",6h 40m,,,,,
6,11963,,PC,6h 43m,NR,,8995617,Completed,First,,6h 43m 32s,,,,,
7,11963,,PC,7h,NR,,770663,Completed,First,,7h,,,,,
8,11963,DorkiDodo123,PlayStation 3,7h,NR,,7000001,Completed,Replay,"September 07, 2018",7h,,,,,
9,11963,Firebob137,PC,7h,NR,,10834472,Completed,First,"January 18, 2020",7h,,,,,
10,11963,Private,PC,7h,NR,,9682526,Completed,First,,7h,,,,,
11,11963,JirkasGamingCZ,PlayStation 3,7h,NR,,5691779,Completed,First,"January 20, 2018",7h,,,,,
12,11963,Kekachino,PC,7h,90%,,11003491,Completed,First,"February 16, 2020",7h,,,,,
13,11963,SerMim,PC,7h,NR,,805812,Completed,First,"April 24, 2014",7h,8h,,,,
14,11963,EvilMatters,PC,7h 15m,NR,,5441632,Completed,First,"December 09, 2017",7h 15m 06s,,,,,
15,11963,,PlayStation 4,7h 19m,NR,Including main story and Harley Quinn's Revenge DLC,9027907,Completed,Replay,,7h 19m 35s,8h 48m 50s,,,,
16,11963,dconnaughton,PC,7h 20m,NR,,3101459,Completed,First,,7h 20m,,,,,
17,11963,Private,Xbox One,7h 22m,80%,,10900821,Completed,First,"September 14, 2019",7h 22m,,,,,
18,11963,Private,PC,7h 24m,80%,,4433407,Completed Retired,First,"May 15, 2017",7h 24m,,,,,
19,11963,,PlayStation 4,7h 30m,NR,,11159038,Completed,First,,7h 30m,10h,,,,
20,11963,Private,PC,7h 30m,90%,,5955095,Completed,First,"March 09, 2018",7h 30m,,,,,
21,11963,Jacbo,PC,7h 30m,90%,,586319,Completed,First,,7h 30m,,,,,
22,11963,alittlecoldoutside,PC,7h 36m,60%,,506625,Completed,First,"December 11, 2013",7h 36m,,,,,
23,11963,theplump,PC,7h 47m,80%,,1776614,Completed,First,"December 26, 2012",7h 47m,,,,,
24,11963,Bouland,PC,8h,NR,Easy. steam time. includes all cat woman segments. 29% completion,8298831,Completed,First,"February 18, 2019",8h,,,,,
25,11963,BruunGaming,PC,8h,NR,,8978170,Completed,First,,8h,,,,,
26,11963,CandyStrike,PC,8h,80%,,8613117,Completed,First,"January 24, 2018",8h,,,,,
27,11963,Private,PC,8h,80%,,11991204,Completed,Replay,"June 14, 2020",8h,,,,,
28,11963,Groovypb,PC,8h,NR,,3987281,Completed,Replay,,8h,12h,,,,
29,11963,brownmagic,PC,8h,NR,,7731357,Completed,First,"October 03, 2014",8h,,,,,
30,11963,brunolpu,PC,8h,NR,,3357062,Completed,Replay,"August 23, 2016",8h,,,,,
31,11963,invenio,PC,8h,NR,Played through to the credits and then some of Cat Women missions until I beat Two Face.,468898,Completed,First,"November 23, 2013",8h,,,,,
32,11963,Private,PC,8h,NR,,10639206,Completed,First,"June 28, 2017",8h,,,,,
33,11963,xShadowSoldierx,PC,8h,NR,,11679340,Custom List 2 Completed,First,"June 23, 2018",8h,,,8h 52m /,,
