,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Speedrun
0,651,VirarNeeda,PC,6h 03m,50%,Replay. 68.31% overall completion.,975758,Replay Completed,Replay,"November 02, 2014",6h 03m 37s,,,,,
1,651,denizdoganoglu1,PC,8h,NR,,7750768,Completed,Replay,"December 16, 2018",8h,13h,,,,
2,651,komashkov,PC,8h,80%,,429427,Completed,First,"March 06, 2013",8h,,,,,
3,651,scorchll7,PlayStation 3,8h,80%,,25515,Completed,First,,8h,,,,,
4,651,,PlayStation 3,8h 30m,NR,,4112940,Completed,First,,8h 30m,,,,,
5,651,,Xbox 360,9h,NR,,292515,Completed,First,,9h,,,,,
6,651,LukeHanley,Xbox 360,9h,80%,,748266,Completed,First,,9h,,,,,
7,651,Private,PC,9h,NR,,5503034,Completed,Replay,,9h,,,,,
8,651,heychrisfox,Xbox 360,9h,50%,,1156895,Completed,First,,9h,11h,,,,
9,651,Bazzadwarf,PlayStation 3,9h 02m,70%,,3837149,Completed,First,"May 03, 2017",9h 02m 49s,,,,,
10,651,,,9h 45m,NR,,406003,Completed,First,,9h 45m 02s,18h 23m 05s,37h 33m 56s,,,
11,651,GoSic,PC,9h 55m,NR,,4529666,Completed,First,"October 23, 2018",9h 55m,,,,,
12,651,smaczny,PC,9h 56m,NR,,3794782,Completed,First,"December 24, 2016",9h 56m,,,,,
13,651,,,10h,NR,,292529,Completed,First,,10h,,,,,
14,651,Aster1,PC,10h,NR,,699116,Completed,First,"May 08, 2009",10h,14h,,,,
15,651,SeraphGamer,Xbox 360,10h,NR,,1795801,Completed,First,"March 17, 2011",10h,12h,24h,,,
16,651,Uncle_Kaz,PC,10h,NR,,6960014,Completed,First,"September 02, 2018",10h,25h,,,,
17,651,generalstrax,PC,10h,80%,,1190661,Completed,First,"February 06, 2015",10h,14h,20h 15m 32s,,,
18,651,sphinxie,PC,10h,NR,,8464940,Completed,Replay,"March 14, 2019",10h,,,,,
19,651,desertofdirt,Xbox 360,10h 04m,NR,,88901,Completed,First,,10h 04m 51s,,,,,
20,651,,Xbox 360,10h 08m,NR,,10721650,Completed,First,,10h 08m,,,,,
21,651,,PC,10h 49m,NR,,5999332,Completed,Replay,,10h 49m 24s,,,,,
22,651,Cashergronh,PC,11h,80%,,5844084,Completed,First,"February 15, 2014",11h,,,,,
23,651,mbrick91,Xbox 360,11h,NR,,3506444,Completed,First,"October 10, 2016",11h,,,,,
24,651,,Xbox 360,11h 05m,NR,,292532,Completed,First,,11h 05m 14s,,,,,
25,651,FznRfq,PC,11h 08m,80%,,3594183,Completed,First,"November 06, 2016",11h 08m 03s,,,,,
26,651,Duchu26,PC,11h 10m,90%,,3822266,Completed,Replay,"July 20, 2017",11h 10m 22s,,,,,
27,651,,PlayStation 4,11h 10m,NR,,8235564,Completed,First,,11h 10m 36s,,,,,
28,651,LordU,PC,11h 20m,NR,,11892818,Completed,First,"June 02, 2020",11h 20m,,,,,
29,651,Tiberiuz,PlayStation 3,11h 22m,90%,,485691,Completed,First,"November 19, 2013",11h 22m 09s,,,,,
30,651,,PC,11h 23m,NR,,10151292,Completed,Replay,,11h 23m 41s,,,,,
31,651,riquerico,PC,11h 29m,90%,Focused on main game only.,472225,Completed,Replay,"November 09, 2013",11h 29m,,,,,
32,651,civoreb,Xbox 360,11h 35m,80%,,2906696,Completed,First,"April 25, 2016",11h 35m 13s,,,Better than the first one in many ways.,,
33,651,Private,PlayStation 3,11h 45m,90%,,1713904,Completed,First,"September 17, 2015",11h 45m,,,,,
34,651,HosainH,PC,11h 51m,NR,,153598,Completed,First,"August 08, 2012",11h 51m 31s,,,,,
35,651,Private,PlayStation 4,11h 56m,50%,Rushed,8069778,Completed,First,"January 18, 2019",11h 56m 23s,,,,,
36,651,,,12h,NR,,292497,Completed,First,,12h,,,,,
37,651,,PlayStation 3,12h,NR,,1326934,Completed,Replay,,12h,,,,,
38,651,,PC,12h,NR,"Seq 1-14, All viewpoints, assassinations, treasures, secrets, side-missions, upgrades, weapons, lairs 100% complete",11552930,Completed,First,,12h,25h,39h 09m 09s,,,
39,651,Barozi,Xbox 360,12h,100%,,246889,Completed,First,,12h,,,,,
40,651,CHELSEAFC,Xbox 360,12h,80%,,157343,Completed,First,December 2010,12h,,,,,
41,651,DilPez19,PC,12h,50%,,10167894,Completed,Replay,May 2019,12h,,,,,
42,651,GameCrazyDaisy1,PlayStation 4,12h,NR,,5672899,Completed,First,"January 16, 2018",12h,,,,,
43,651,LewaOhato,Xbox 360,12h,NR,,2979834,Completed,First,"May 16, 2016",12h,,,,,
44,651,Private,PlayStation 3,12h,NR,,5892614,Completed,First,"February 25, 2018",12h,,,,,
45,651,SeraphimBey,PC,12h,NR,,6014870,Completed,First,"March 21, 2018",12h,,,,,
46,651,mantinez,Xbox 360,12h,90%,,3421044,Completed,First,"April 19, 2016",12h,15h,18h,,,
47,651,mantinez,PlayStation 3,12h,80%,,7776017,Completed,Replay,"August 22, 2017",12h,,,,,
48,651,mcsquib377,PC,12h,NR,,3133288,Completed,First,"June 25, 2010",12h,,,,,
49,651,oldwicho,PlayStation 3,12h,90%,,1222835,Completed,First,"February 23, 2016",12h,,,,,
50,651,valjus96,Xbox 360,12h,NR,,2751294,Completed,First,"March 20, 2016",12h,15h,20h,,,
51,651,,Xbox One,12h 02m,NR,,9304415,Completed,First,,12h 02m 05s,,,,,
52,651,simonpearcewut,PlayStation 3,12h 05m,100%,,501191,Playing Completed,First,"December 01, 2013",12h 05m 15s,,,,,
53,651,,Xbox 360,12h 06m,NR,"Very fun game, Big leap since the fist game. LOVED IT!!!",482014,Completed,First,,12h 06m 47s,,,,,
54,651,Private,PC,12h 15m,NR,,11305026,Completed,First,"November 08, 2008",12h 15m,,,,,
55,651,,PlayStation 3,12h 15m,NR,,3255340,Completed,First,,12h 15m 34s,,,,,
56,651,ohnoitsalango,PlayStation 3,12h 19m,80%,,46951,Completed,First,,12h 19m 33s,,,,,
57,651,Giuseppe,PC,12h 30m,NR,,2837106,Completed,First,,12h 30m,20h,30h,,,
58,651,Terlan_357,PC,12h 32m,90%,,1016170,Completed,First,"April 08, 2010",12h 32m 02s,21h 21m 01s,43h 54m 15s,,,
59,651,sudoankit,PC,12h 34m,90%,,3021996,Completed,First,"May 28, 2014",12h 34m,,,,,
60,651,ryanhardy,PlayStation 3,12h 47m,NR,,706048,Completed,First,"April 22, 2014",12h 47m,,,,,
61,651,binarys010,PC,12h 49m,100%,,373998,Completed,First,"August 25, 2013",12h 49m 34s,,,,,
62,651,cabriolet6,PC,12h 50m,90%,,6211919,Completed,First,"May 06, 2018",12h 50m 55s,,,,,
