,Game_id,User,Platform,Time,Rated,Notes,play_id,Lists,Playthrough,Completion,Main Story,Main+Extras,Completionist,Personal Notes,Progress,Retired Notes,Speedrun
0,57686,trapstarb,PlayStation 4,17h 33m,NR,,11339981,Completed,First,"April 04, 2020",17h 33m 14s,32h 21m 56s,39h 49m 26s,,,,
1,57686,Sai077,PlayStation 4,17h 59m,NR,Side quests only in Sector 7 and Wall Market.,11409506,Completed,First,"April 11, 2020",17h 59m 15s,,,,,,
2,57686,solarscape,PlayStation 4,19h 38m,90%,,11541957,Completed,First,"April 21, 2020",19h 38m 10s,,,mostly main story so no side quest.,,,
3,57686,oniongangst3r,PlayStation 4,19h 56m,NR,,11454528,Completed,First,"April 14, 2020",19h 56m 22s,,,,,,
4,57686,Cricinator,PlayStation 4,20h,NR,I did all the side quests (minus one due to it being completed after the game) on my first playthrough.,11825348,Completed,First,"April 24, 2020",20h,40h,,,,,
5,57686,,PlayStation 4,20h 12m,NR,,11369062,Completed,First,,20h 12m,,,,,,
6,57686,,PlayStation 4,20h 30m,NR,At second half of the game all the cutscenes were skipped,11558300,Completed,First,,20h 30m,,,,,,
7,57686,HollywoodKills,PlayStation 4,20h 45m,90%,,11431703,Completed,First,"April 12, 2020",20h 45m,,,,,,
8,57686,CL2000,PlayStation 4,21h 03m,NR,,11526497,Completed,First,"April 21, 2020",21h 03m,,,,,,
9,57686,,PlayStation 4,21h 05m,NR,,11416468,Completed,First,,21h 05m 49s,,,,,,
10,57686,,PlayStation 4,21h 16m,NR,,12027577,Completed,First,,21h 16m 37s,,,,,,
11,57686,Rayaan54,PlayStation 4,21h 16m,NR,,12027586,Completed,First,"June 18, 2020",21h 16m 37s,,,,,,
12,57686,Coopman45,PlayStation 4,21h 30m,NR,,11449358,Completed,First,"April 14, 2020",21h 30m,,,,,,
13,57686,,PlayStation 4,21h 32m,NR,,11415669,Completed,First,,21h 32m,,,,,,
14,57686,PurpleCrab,PlayStation 4,21h 32m,90%,,11483870,Custom List 2 Completed,First,"April 18, 2020",21h 32m 23s,,,,,,
15,57686,,PlayStation 4,21h 37m,NR,,11472915,Completed,First,,21h 37m 02s,,,,,,
16,57686,statusxerror,PlayStation 4,22h,NR,,11356802,Completed,First,"April 05, 2020",22h,31h 27m,,,,,
17,57686,sepharas,PlayStation 4,22h 04m,NR,,11348846,Completed,First,"April 04, 2020",22h 04m 47s,,,,,,
18,57686,,PlayStation 4,22h 12m,NR,,11827366,Completed,First,,22h 12m,,,,,,
19,57686,T_Roy,PlayStation 4,22h 18m,100%,,11435154,Completed,First,"April 17, 2020",22h 18m 09s,,,,,,
20,57686,Mjghost88,PlayStation 4,22h 23m,NR,Exact time,11828146,Completed,First,"May 17, 2020",22h 23m 24s,,,,,,
21,57686,nuber1gamer,PlayStation 4,22h 27m,80%,Only did the main story. Only side quests were done when mandatory,12008688,Completed,First,"June 16, 2020",22h 27m,,,Only did the main story. Only side quests were done when mandatory,,,
22,57686,,PlayStation 4,22h 33m,NR,,11690326,Completed,First,,22h 33m,,,,,,
23,57686,,PlayStation 4,22h 34m,NR,,11621377,Completed,First,,22h 34m,,,,,,
24,57686,Flourite,PlayStation 4,22h 43m,80%,Easy Difficulty,11392988,Completed,First,"April 24, 2020",22h 43m 46s,,,,,,
25,57686,retro_and_chill,PlayStation 4,22h 45m,70%,,11320122,Completed,First,"April 13, 2020",22h 45m 56s,,,,,,
26,57686,,PlayStation 4,22h 52m,NR,About 5 side quests completed total,11500698,Completed,First,,22h 52m 53s,,,,,,
27,57686,Roosevelt,PlayStation 4,23h 05m,90%,,11075587,Completed,First,"April 09, 2020",23h 05m,,,,,,
28,57686,Flannel_Gamer,PlayStation 4,23h 12m,NR,On easy,11440335,Completed,First,"April 13, 2020",23h 12m 52s,,,,,,
29,57686,Bluey,PlayStation 4,23h 30m,NR,,11437756,Completed,First,"April 13, 2020",23h 30m,,,,,,
30,57686,Phare,PlayStation 4,24h,100%,,11353420,Completed,First,"April 18, 2020",24h,34h 20m,,,,,
31,57686,gavinng,PlayStation 4,24h,90%,,11724072,Completed Retired,First,"April 27, 2020",24h,,,,,,
32,57686,Private,PlayStation 4,24h 16m,NR,,11674286,Completed,First,"May 07, 2020",24h 16m,,,,,,
33,57686,,PlayStation 4,24h 30m,NR,,11312786,Completed,First,,24h 30m,,,,,,
34,57686,,PlayStation 4,24h 32m,NR,haven't done most of the side quests and unlockables,11393642,Completed,First,,24h 32m 41s,,,,,,
35,57686,Private,PlayStation 4,24h 36m,70%,,11620917,Completed,First,"May 01, 2020",24h 36m,,,,,,
36,57686,jhawk889,PlayStation 4,24h 40m,NR,,11489612,Completed,First,"April 18, 2020",24h 40m 22s,,,,,,
37,57686,,PlayStation 4,24h 42m,NR,,11436138,Completed,First,,24h 42m 53s,,,,,,
38,57686,DragonDeesNuts,PlayStation 4,24h 45m,NR,,11369264,Completed,First,"April 06, 2020",24h 45m 03s,32h 28m 54s,39h 57m 26s,,,,
39,57686,,PlayStation 4,24h 49m,NR,,11567075,Completed,First,,24h 49m 12s,,,,,,
40,57686,marjolycookie,PlayStation 4,24h 57m,NR,,11808185,Completed,First,"April 11, 2020",24h 57m,,,,,,
41,57686,,PlayStation 4,25h,NR,,11354802,Completed,First,,25h,35h,,,,,
42,57686,,PlayStation 4,25h,NR,Maybe less if you beat battles quickly,11675754,Completed,First,,25h,31h,,,,,
43,57686,,PlayStation 4,25h,NR,,11703763,Completed,First,,25h,,,,,,
44,57686,AmeDouxLilla,PlayStation 4,25h,NR,,11603559,Completed,First,"April 30, 2020",25h,,,,,,
45,57686,CrimKat,PlayStation 4,25h,NR,,11424265,Completed,First,"April 14, 2020",25h,,,,,,
46,57686,Dam1an2011,PlayStation 4,25h,NR,,11427652,Completed,First,"April 12, 2020",25h,,,,,,
47,57686,DanielP,PlayStation 4,25h,100%,Main + 24/26 Side quests + some collectibles,11810278,Playing Replay Completed,Replay,"May 29, 2020",25h,31h 30m 25s,,,31h 30m 25s /,,
48,57686,brandondelvalle,PlayStation 4,25h,100%,,11433079,Completed,First,"April 12, 2020",25h,27h 30m,,,,,
49,57686,dmtecdave,PlayStation 4,25h,70%,,11399588,Completed,First,"April 10, 2020",25h,30h 38m,,,,,
50,57686,mrbaggs,PlayStation 4,25h,NR,,11473483,Completed,First,"April 17, 2020",25h,,,,,,
51,57686,Private,PlayStation 4,25h 20m,80%,,11469503,Completed,First,"April 27, 2020",25h 20m,,,,,,
52,57686,Kuruwin,PlayStation 4,25h 23m,40%,,11982097,Completed,First,"June 13, 2020",25h 23m 35s,,,,,,
53,57686,2becomeone,PlayStation 4,25h 40m,NR,,11362100,Completed,First,"April 06, 2020",25h 40m,40h 23m,56h 42m,,,,
54,57686,,PlayStation 4,25h 48m,NR,,11351092,Completed,First,,25h 48m,43h 23m,55h 36m,,,,
55,57686,,PlayStation 4,25h 56m,NR,,11467322,Completed,First,,25h 56m 44s,35h 44m 27s,,,,,
56,57686,,PlayStation 4,26h,NR,,11430254,Completed,First,,26h,31h,,,,,
57,57686,anga830,PlayStation 4,26h,90%,all quests except chapter 14,11591105,Completed,First,"May 09, 2020",26h,26h 55m,,,,,
58,57686,denkprozess,PlayStation 4,26h,NR,,11398372,Completed,First,"April 13, 2020",26h,42h,,,,,
59,57686,,PlayStation 4,26h 15m,NR,,11494529,Completed,First,,26h 15m 47s,27h 44m,,,,,
60,57686,EpicBro99,PlayStation 4,26h 18m,90%,holy crap dude.,11406248,Completed,First,"April 12, 2020",26h 18m 10s,,,,,,
61,57686,Pitcher_T,PlayStation 4,26h 32m,NR,,11689572,Custom List 3 Completed,First,"May 10, 2020",26h 32m 45s,,,,26h 32m 45s /,,
62,57686,iHassanFTW,PlayStation 4,26h 37m,NR,,11556691,Completed,First,"April 25, 2020",26h 37m 37s,,,,,,
63,57686,,PlayStation 4,26h 38m,NR,,11473495,Completed,First,,26h 38m,,,,,,
64,57686,cellslayer78,PlayStation 4,26h 48m,60%,,11542022,Completed,First,"April 23, 2020",26h 48m 59s,,,,,,
65,57686,jawn_yard,PlayStation 4,26h 57m,100%,,11570426,Completed,First,"April 26, 2020",26h 57m,,,,,,
66,57686,Nicolol06,PlayStation 4,27h,NR,,11775114,Completed,First,"May 18, 2020",27h,,,,,,
67,57686,Rethromil,PlayStation 4,27h 16m,NR,,11583805,Completed,First,"April 27, 2020",27h 16m,,,,,,
68,57686,Valjean,PlayStation 4,27h 25m,NR,,11445274,Completed,First,"April 16, 2020",27h 25m,,,,,,
69,57686,,PlayStation 4,27h 29m,NR,,11559272,Completed,First,,27h 29m 12s,,,,,,
70,57686,Aroxisas,PlayStation 4,27h 30m,80%,Did not do it,11545920,Completed,First,"April 24, 2020",27h 30m,40h,,,,,
71,57686,nlcammarata,PlayStation 4,27h 30m,100%,,11450271,Completed,First,"May 02, 2020",27h 30m 45s,,,,,,
72,57686,modaren,PlayStation 4,27h 39m,NR,100%,11371569,Completed,First,"April 07, 2020",27h 39m,,59h 33m,,,,
73,57686,Akitrotro,PlayStation 4,27h 44m,NR,,11487425,Completed,First,"April 19, 2020",27h 44m,,,,,,
74,57686,bmartinko,PlayStation 4,27h 51m,90%,Main Story finished; 48% PlayStation Trophies; Normal Playthrough,11438501,Completed,First,"April 29, 2020",27h 51m 45s,,,,,,
75,57686,,PlayStation 4,27h 56m,NR,,11379587,Completed,First,,27h 56m,,,,,,
